GROUP,SUBJECT,PHASE,TRIAL,TARGET,ROT,DIR,HA_INITIAL,HA_END,CA_END
1,29,Baseline,2,0,0,CCW,1.892549184,2.325483124,-2.325483124
1,29,Baseline,3,0,0,CCW,2.47173062,2.129547957,-2.129547957
1,29,Baseline,4,0,0,CCW,2.37612578,1.64284561,-1.64284561
1,29,Baseline,5,0,0,CCW,-4.604770752,-4.888334102,4.888334102
1,29,Baseline,6,0,0,CCW,6.223295038,5.848424909,-5.848424909
1,29,Baseline,7,0,0,CCW,0.700256151,0.898834232,-0.898834232
1,29,Baseline,8,0,0,CCW,5.917252801,6.122154403,-6.122154403
1,29,Baseline,9,0,0,CCW,3.746235401,4.072941077,-4.072941077
1,29,Baseline,10,0,0,CCW,2.630340761,2.81071832,-2.81071832
1,30,Baseline,1,0,0,CCW,6.058021969,6.284087754,-6.284087754
1,30,Baseline,2,0,0,CCW,3.958118046,3.666270322,-3.666270322
1,30,Baseline,3,0,0,CCW,0.448426552,0.487673244,-0.487673244
1,30,Baseline,4,0,0,CCW,-0.120083514,-0.504234289,0.504234289
1,30,Baseline,5,0,0,CCW,-2.741114077,-2.851122101,2.851122101
1,30,Baseline,6,0,0,CCW,2.810632558,2.812364273,-2.812364273
1,30,Baseline,7,0,0,CCW,-1.178413508,-0.61395613,0.61395613
1,30,Baseline,8,0,0,CCW,5.410146549,5.759477456,-5.759477456
1,30,Baseline,9,0,0,CCW,-1.129446662,-1.450675543,1.450675543
1,30,Baseline,10,0,0,CCW,2.832441999,2.756868105,-2.756868105
1,31,Baseline,1,0,0,CCW,3.037738414,3.030920943,-3.030920943
1,31,Baseline,2,0,0,CCW,4.407076458,4.302469796,-4.302469796
1,31,Baseline,3,0,0,CCW,2.201022693,2.535948629,-2.535948629
1,31,Baseline,4,0,0,CCW,-0.877887586,-0.878619571,0.878619571
1,31,Baseline,5,0,0,CCW,4.078675939,4.316386446,-4.316386446
1,31,Baseline,6,0,0,CCW,-0.466156273,-0.211544032,0.211544032
1,31,Baseline,7,0,0,CCW,0.480541308,0.249785245,-0.249785245
1,31,Baseline,8,0,0,CCW,3.411184861,3.045182853,-3.045182853
1,31,Baseline,9,0,0,CCW,5.697748529,5.438234575,-5.438234575
1,31,Baseline,10,0,0,CCW,2.438570151,1.939803513,-1.939803513
1,32,Baseline,1,0,0,CCW,-2.652966548,-2.639157176,2.639157176
1,32,Baseline,2,0,0,CCW,2.128637198,2.40431319,-2.40431319
